Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
12058,1638,252,92,0
14112,1655,129,95,30
11177,1570,133,9,50
11388,1551,170,95,7
7193,1377,176,10,0
7114,1407,190,8,15
10645,1545,150,32,36
13238,1650,194,52,43
10414,1501,124,40,41
16520,1760,176,143,24
14335,1710,258,41,47
13559,1628,142,96,14
12312,1618,178,88,14
11677,1590,168,55,29
11550,1574,208,86,0
13585,1633,171,116,9
14687,1667,151,122,8
5543,2990,254,0,0
3226,2480,136,0,0
3023,2570,145,0,0
5906,3016,215,10,0
12483,3830,309,14,25
8940,3706,47,0,0
368,2024,0,0,0
5702,2980,0,0,0
10330,3728,0,0,0
8778,3348,0,0,0
6662,3162,0,0,0
6309,3140,0,0,0
1951,1980,0,0,0
5563,3681,0,0,0
4370,3444,0,0,0
7144,3510,0,0,0
2106,4010,75,45,31
4152,2976,187,0,0
5400,3418,258,0,0
7428,3439,261,33,18
5351,3338,210,17,15
4299,2892,162,15,3
6107,3313,265,0,0
6429,3118,193,28,0
6880,2966,165,19,7
7476,3253,263,0,0
6581,3032,241,8,0
10480,4034,272,37,6
7734,3264,223,12,20
5129,2817,176,7,5
2993,2507,114,0,0
8,446,1,0,0
8539,3654,331,15,4
0,1981,0,0,0
108,2011,3,0,0
1882,2951,87,18,36
1982,3051,55,21,65
16,1990,2,0,0
62,1995,2,0,0
475,2207,31,11,0
4496,2828,174,0,0
10252,3879,346,46,13
11728,3429,196,42,38
4369,2704,177,0,0
6132,2975,184,0,0
5862,3089,263,0,0
4556,2785,173,5,3
5546,2926,206,0,0
0,1777,0,0,0
0,1777,0,0,0
8433,2453,135,7,30
0,1776,0,0,0
2139,1935,15,28,0
0,1776,0,0,0
949,1870,34,0,0
0,1777,0,0,0
44,1782,2,0,0
2660,1978,46,0,0
5561,2296,169,0,0
7239,2484,190,7,7
7,1787,1,0,0
0,1776,0,0,0
0,1776,0,0,0
2275,2005,86,0,0
8,1778,1,0,0
5137,2293,160,0,0
5419,2259,145,0,0
0,1776,0,0,0
0,1776,0,0,0
0,1776,0,0,0
0,1776,0,0,0
0,1776,0,0,0
0,1776,0,0,0
18,1780,2,0,0
4,1778,1,0,0
8426,2360,25,120,2
1650,1952,60,0,0
3434,2101,108,7,1
6801,2393,193,0,0
187,538,11,0,0
5394,2286,164,0,0
5974,2306,160,0,0
0,1776,0,0,0
5643,1958,199,8,3
